question_id,question_text,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,source_field,tags
Q001,What year was DMX born?,1970,1968,1971,1999,Birth Year,Easy,birth_year,"bio,origin"
Q002,Which city or region is DMX associated with?,"Mount Vernon, NY","Ithaca, NY","Minneapolis, Minnesota","Lima, Peru",Origin,Easy,origin,location
Q003,What is the real name of DMX?,Earl Simmons,Kimberly Denise Jones,Christopher Brian Bridges,Yannick Koffi,Real Name,Medium,real_name,identity
Q004,What year was MC Hammer born?,1962,1982,1983,1999,Birth Year,Easy,birth_year,"bio,origin"
Q005,Which city or region is MC Hammer associated with?,"Oakland, CA","St. Louis, MO","Inglewood, CA","Savannah, GA",Origin,Easy,origin,location
Q006,What is the real name of MC Hammer?,Stanley Kirk Burrell,Antonio Hardy,Samara Henderson,Yasiin Bey,Real Name,Medium,real_name,identity
Q007,What year was Will Smith born?,1968,1998,1966,1978,Birth Year,Easy,birth_year,"bio,origin"
Q008,Which city or region is Will Smith associated with?,"Philadelphia, PA","Wiesbaden, Germany","Dallas, TX","Mableton, GA",Origin,Easy,origin,location
Q009,What is the real name of Will Smith?,Willard Carroll Smith Jr.,Jason Green,Yannick Koffi,Michael Eagle II,Real Name,Medium,real_name,identity
Q010,What year was Murda Mook born?,1984,1969,2002,1968,Birth Year,Easy,birth_year,"bio,origin"
Q011,Which city or region is Murda Mook associated with?,"Harlem, NY","Richmond, VA","Kansas City, MO","Oxnard, CA",Origin,Easy,origin,location
Q012,What is the real name of Murda Mook?,John Ancrum,Keenon Dequan Ray Jackson,Tobe Nwigwe,"A-Plus, Phesto, Opio, Tajai",Real Name,Medium,real_name,identity
Q013,What year was Kurupt born?,1972,1981,1986,1971,Birth Year,Easy,birth_year,"bio,origin"
Q014,Which city or region is Kurupt associated with?,"Philadelphia, PA","East Orange, NJ","Worcester, MA","Spanish Harlem, NY",Origin,Easy,origin,location
Q015,What is the real name of Kurupt?,Ricardo Emmanuel Brown,Destin Choice Route,Teren Delvon Jones,Joseph Anthony Budden II,Real Name,Medium,real_name,identity
Q016,Which city or region is Digital Underground associated with?,"Oakland, CA","Newark, NJ","Pontiac, MI","New York City, NY",Origin,Easy,origin,location
Q017,What is the real name of Digital Underground?,Various Artists,Jatavia Shakara Johnson,Jo-Vaughn Virginie Scott,Keith Omar Murray,Real Name,Medium,real_name,identity
Q018,What year was MC Eiht born?,1971,1966,1978,1991,Birth Year,Easy,birth_year,"bio,origin"
Q019,Which city or region is MC Eiht associated with?,"Compton, CA","Canton, OH","Houston, TX","South Orange, NJ",Origin,Easy,origin,location
Q020,What is the real name of MC Eiht?,Aaron Bernard Tyler,Torrence Ivy Hatch Jr.,Kentrell DeSean Gaulden,Aaron Dontez Yates,Real Name,Medium,real_name,identity
Q021,Which city or region is EPMD associated with?,"Long Island, NY","Virginia Beach, VA","Hempstead, NY","Philadelphia, PA",Origin,Easy,origin,location
Q022,What is the real name of EPMD?,"Erick Sermon, PMD",Tamia Monique Carter,André Lauren Benjamin,Vyshonn King Miller,Real Name,Medium,real_name,identity
Q023,What year was Gunna born?,1993,1978,1975,1995,Birth Year,Easy,birth_year,"bio,origin"
Q024,Which city or region is Gunna associated with?,"College Park, GA","Houston, TX","South Gate, CA","Detroit, MI",Origin,Easy,origin,location
Q025,What is the real name of Gunna?,Sergio Giavanni Kitchens,David R. Styles,Quincy Matthew Hanley,Felipe Andres Coronel,Real Name,Medium,real_name,identity
Q026,What year was LL Cool J born?,1968,1970,1982,2008,Birth Year,Easy,birth_year,"bio,origin"
Q027,Which city or region is LL Cool J associated with?,"Queens, NY",Virginia,"Philadelphia, PA","Washington, D.C.",Origin,Easy,origin,location
Q028,What is the real name of LL Cool J?,James Todd Smith,Michael Eagle II,Philip Bernard,Richard Martin Lloyd Walters,Real Name,Medium,real_name,identity
Q029,What year was Baby Keem born?,2000,1974,1968,1985,Birth Year,Easy,birth_year,"bio,origin"
Q030,Which city or region is Baby Keem associated with?,"Las Vegas, NV","Baltimore, MD","Pittsburgh, PA","Pompano Beach, FL",Origin,Easy,origin,location
Q031,What is the real name of Baby Keem?,Hykeem Jamaal Carter Jr.,Sean Duval Price,Tierra Helena Whack,John R. Austin II,Real Name,Medium,real_name,identity
Q032,What year was B.o.B born?,1988,1976,1987,1958,Birth Year,Easy,birth_year,"bio,origin"
Q033,Which city or region is B.o.B associated with?,"Winston-Salem, NC","Brooklyn, NY","Vallejo, CA","Detroit, MI",Origin,Easy,origin,location
